compound_id2,mesh_name2
C045213,hepatitis B hyperimmune globulin
D014645,"Herpesvirus 3, Human"
C043226,meningococcal group A polysaccharide
C037676,meningococcal group C polysaccharide
C099433,heptavalent pneumococcal conjugate vaccine
D009345,Neisseria meningitidis
D009108,Mumps Vaccine
C063317,"L1 protein, Human papillomavirus type 16"
D004168,Diphtheria Toxoid
D013745,Tetanus Toxoid
C057664,"Vi polysaccharide vaccine, typhoid"
D018029,Rho(D) Immune Globulin
D000069455,Palivizumab
C111186,palivizumab
D002176,Candida albicans
D019433,Chickenpox Vaccine
C030799,varicella-zoster immune globulin
D022123,Lyme Disease Vaccines
D016756,"Immunoglobulins, Intravenous"
D011054,"Poliovirus Vaccine, Inactivated"
D022341,Yellow Fever Vaccine
D006514,Hepatitis B Surface Antigens
C072045,OspA protein
C051409,pegademase bovine
C045781,cytomegalovirus-specific hyperimmune globulin
D008458,Measles Vaccine
D022121,Cholera Vaccines
D013874,Thiopental
D013881,Thioridazine
D013888,Thiothixene
D008559,Memantine
D008617,Mephenytoin
D008618,Mephobarbital
D008619,Mepivacaine
D008620,Meprobamate
D008653,Mesoridazine
C079150,paliperidone
D014191,Tranylcypromine
D014196,Trazodone
D008694,Methamphetamine
D014229,Triazolam
D008721,Methocarbamol
D014268,Trifluoperazine
C047781,lamotrigine
D014282,Trihexyphenidyl
C049816,hylan
D014299,Trimipramine
D008774,Methylphenidate
D014403,Tubocurarine
D008874,Midazolam
C514020,lisdexamfetamine
D008972,Molindone
D000639,Amitriptyline
C048833,modafinil
D001565,Benzoate
C026098,"etiracetam, S-isomer"
D003620,Dantrolene
C092292,ziprasidone
D000654,Amobarbital
D000657,Amoxapine
C043114,fosphenytoin
C044327,interferon beta-1b
C046649,ropinirole
C051752,nefazodone
D000661,Amphetamine
D001418,Baclofen
C058218,duloxetine
C059205,tiagabine
C031967,rasagiline
C066340,tolcapone
C076946,donepezil
D003891,Desipramine
D009388,Neostigmine
C036006,oxcarbazepine
D009538,Nicotine
D020372,Dexfenfluramine
D001589,Benzphetamine
D001590,Benztropine
D003913,Dextroamphetamine
C085665,zaleplon
C061333,pramipexole
D009661,Nortriptyline
D017374,Paroxetine
D000068556,Interferon beta-1a
C086937,interferon beta 1a
D003975,Diazepam
C100294,phendimetrazine
D009966,Orphenadrine
D010076,Oxazepam
D001712,Biperiden
C035133,mirtazapine
D004053,Diethylpropion
D010389,Pemoline
D019274,"Botulinum Toxins, Type A"
D001971,Bromocriptine
D010424,Pentobarbital
C025130,quazepam
D064699,Dexmethylphenidate
D010479,Pergolide
D002045,Bupivacaine
D010546,Perphenazine
D002065,Buspirone
D000068836,Rivastigmine
C072506,rivastigmine
D010624,Phenelzine
D010634,Phenobarbital
D000069583,Pregabalin
C080245,pregabalin
D010645,Phentermine
D000069442,Natalizumab
C469407,natalizumab
D004221,Disulfiram
D019782,Riluzole
D018967,Risperidone
D004315,Doxapram
D004316,Doxepin
D004319,Doxylamine
D020280,Sertraline
D004329,Droperidol
C058254,sibutramine
D002220,Carbamazepine
D002230,Carbidopa
D010672,Phenytoin
D004491,Edrophonium
C055122,orlistat
C041930,atomoxetine
C052342,topiramate
C021100,trichloroacetaldehyde
D004737,Enflurane
C047426,venlafaxine
C049109,zolpidem
C022189,zonisamide
D004877,Ergoloid Mesylates
D014635,Valproate
D010868,Pimozide
D004949,Estazolam
D004984,Ethchlorvynol
D002328,Carisoprodol
D005013,Ethosuximide
C084606,ethotoin
D016642,Bupropion
D016651,Lithium Carbonate
D011324,Primidone
D016666,Fluvoxamine
D011343,Procaine
D011346,Prochlorperazine
D011352,Procyclidine
D015742,Propofol
D005277,Fenfluramine
D011530,Protriptyline
D005473,Fluoxetine
D005476,Fluphenazine
D005479,Flurazepam
D000069582,Eszopiclone
C515051,eszopiclone
D005702,Galantamine
D000068180,Aripiprazole
C094645,aripiprazole
C100286,methsuximide
D011729,Pyridostigmine
D012631,Secobarbital
D012642,Selegiline
D019791,Guanidine
D006220,Haloperidol
C069541,quetiapine
C070669,lithium citrate
D012978,Sodium Oxybate
D006919,Hydroxyzine
D007099,Imipramine
C023754,tizanidine
C004704,cyclobenzaprine
C011301,metaxalone
C500838,varenicline
D000068580,Varenicline
D000525,Alprazolam
C495910,ramelteon
D007520,Isocarboxazid
D007530,Isoflurane
C071192,entacapone
D007649,Ketamine
C076029,olanzapine
C047508,rotigotine
D007980,Levodopa
D003009,Chlorazepate
D008140,Lorazepam
D008152,Loxapine
D008376,Maprotiline
D008454,Mazindol
D002746,Chlorpromazine
D002753,Chlorzoxazone
C047360,felbamate
C040029,gabapentin
D015283,Citalopram
D006820,Hyaluronan
D002997,Clomipramine
D002998,Clonazepam
D003024,Clozapine
C010175,halazepam
D013390,Succinylcholine
D013619,Tacrine
D013693,Temazepam
D013747,Tetrabenazine
D001058,Apomorphine
D002362,Cascara
D008610,Menthol
D003091,Colistin
C002284,hypromellose
D013999,Timolol
D014031,Tobramycin
C120481,ciclesonide
D014047,Tolnaftate
D008625,Tiopronin
C060344,dolasetron
D014212,Tretinoin
C043345,emedastine
D014221,Triamcinolone
D008704,Methazolamide
D000622,Aminolevulinic Acid
D008709,Methenamine
D064098,Esomeprazole
D000069557,Travoprost
C438103,travoprost
C420823,bimatoprost
D000069580,Bimatoprost
D014223,Triamterene
D014237,Trichlormethiazide
C005101,mepenzolate
D014271,Trifluridine
D008730,Methoxsalen
C053915,mometasone
D008736,Methyclothiazide
D008747,Methylcellulose
D008751,Methylene Blue
D014290,Metipranolol
D014307,Trioxsalen
D014331,Tropicamide
D014357,Trypsin
D008787,Metoclopramide
D015125,Oxyquinoline
D052200,Lactobacillus reuteri
D014508,Urea
D008788,Metolazone
C047340,levocabastine
D008825,Miconazole
D014740,Vidarabine
C016545,magaldrate
C005479,magnesium carbonate
D008899,Mineral Oil
C001671,magnesium trisilicate
C055085,calcipotriene
C100283,medrysone
C019468,mercuric oxide
D003501,Cyclizine
C033069,methyl salicylate
C414203,nepafenac
C032257,methylnaltrexone
C417051,alefacept
D003519,Cyclopentolate
D003543,Cysteamine
D015034,Zinc Oxide
C083418,palonosetron
D018698,Glutamate
C031149,glycolate
C063129,rabeprazole
D064750,Rabeprazole
D000068582,Certolizumab Pegol
C468008,certolizumab pegol
D000643,Ammonium Chloride
C072194,becaplermin
C098350,verteporfin
C011941,nabilone
C099041,tolterodine
C029178,naftifine
D014476,Undecylenates
C044309,1-octacosanol
D001285,Atropine
D009278,Naphazoline
D001414,Bacitracin
C118580,octylmethoxycinnamate
D010866,Natamycin
C006691,bentoquatam
C015620,brimonidine
C072630,isopropyl unoprostone
D003851,Deoxyribonucleases
C074921,olopatadine
C117268,pimecrolimus
D009355,Neomycin
C441209,solifenacin
D017830,Octoxynol
C101207,darifenacin
C032587,olsalazine
D001548,Benzalkonium
C501844,dimethicone
D001556,Lindane
D001558,Benzethonium
C105050,tegaserod
D001566,Benzocaine
D003898,Desonide
D003899,Desoximetasone
D001585,Benzoyl Peroxide
C022155,oxiconazole
C005290,oxybenzone
C005419,oxybutynin
D000681,Amylases
D005839,Gentamycin
D019905,Benzyl Alcohol
C016986,apraclonidine
C007147,4-cresyl acetate
C009760,mequinol
D009582,Nitrofurantoin
D009583,Nitrofurazone
D001623,Betamethasone
C017652,paregoric
C030121,pectin
D009761,Nystatin
D026023,Permethrin
C025080,Peruvian balsam
D015242,Ofloxacin
D019800,Phenol
D009853,Omeprazole
D064692,Hyoscyamine
D009892,Opium
D003992,Dibucaine
D010426,Pentosan Polysulfate
D004005,Dichlorphenamide
D020113,Phenolphthalein
C088482,tamsulosin
D004025,Dicyclomine
D001726,Bisacodyl
D004028,Dienestrol
D007701,Kinetin
D010109,Oxymetazoline
D010118,Oxytetracycline
D010194,Pancreatin
D010206,Papain
D004098,Dihydroxyacetone
C023844,potassium nitrate
C005548,pramoxine
D004103,Iodoquinol
C035287,prednicarbate
D004111,Dimenhydrinate
D004121,Dimethyl Sulfoxide
D019946,Propylene Glycol
D000086,Acetazolamide
C005717,proxymetacaine
C006358,acetohydroxamic acid
D019342,Acetic Acid
D017255,Acitretin
C032688,boric acid
C058687,lansoprazole
D064747,Lansoprazole
C006429,monobenzone
C047638,alfuzosin
C013396,aluminum acetate
C012716,amcinonide
D004157,Diphenoxylate
C571062,2-mercaptopyridine-N-oxide
C008704,pyrithione
D010450,Endopeptidases
D020117,Cisapride
D002034,Bumetanide
D002040,Levobunolol
D010621,Phenazopyridine
C026325,attapulgite
D010632,Pheniramine
C020976,azelastine
C038637,balsalazide
C025173,basic aluminum carbonate gel
C025350,rennet
C031389,resorcinol
C005298,benoxinate
C472181,efalizumab
D019817,Benzoic Acid
C114556,aprepitant
C108577,infliximab
D000069285,Infliximab
D018723,Bethanechol
C026041,phenyl salicylate
C002170,bismuth subgallate
C015715,bismuth subsalicylate
C111827,brinzolamide
C025698,selenium disulfide
D002164,Camphor
D012676,Senna Extract
C002839,sennoside A&B
C055139,pemirolast
C061131,sertaconazole
D019819,Budesonide
D017693,Sodium Bicarbonate
C004605,butamben
C017125,butoconazole
C005686,sodium carbonate
C018279,sodium phosphate
D002211,Capsaicin
C012036,sodium sulfate
C025026,sodium sulfite
C017717,sodium thiosulfate
D002217,Carbachol
C030312,calcium polycarbophil
C033308,sulconazole
C034094,sulfabenzamide
D004464,Econazole
C009375,Tadenan
C103303,alitretinoin
D004143,Dioctyl Sulfosuccinic Acid
C037815,terconazole
C005810,tetrahydrozoline
C020527,tioconazole
C026116,torsemide
C005848,trichlorofluoromethane
C009546,triethanolamine
C002316,triethanolamine polypeptide oleate condensate
C100146,trimethobenzamide
C030242,phosphoric acid
C032758,trolamine salicylate
C016811,tyloxapol
C053090,epinastine
C009695,xylometazoline
C010423,pyrithione zinc
D010862,Pilocarpine
D010882,Piperonyl Butoxide
C086827,tazarotene
D011033,Podophyllin
D011034,Podophyllotoxin
C064276,pantoprazole
C000595211,polyethylene glycol 300
C000595213,polyethylene glycol 400
D011092,Polyethylene Glycols
C090840,alosetron
D011112,Polymyxin B
D011139,Polythiazide
D011142,Polyvinyl Alcohol
D002266,Carboxymethylcellulose
C004357,chloroxine
C007027,chloroxylenol
C064466,halobetasol
D011205,Povidone
C011585,ciclopirox
D043322,Lactase
D005018,Ethyl Chloride
D002354,Carteolol
D019343,Citric Acid
D016559,Tacrolimus
D016567,Nizatidine
C054940,clidinium
C004686,clocortolone
D002368,Castor Oil
C052387,cocoa butter
D000865,Antazoline
D011318,Prilocaine
C120662,calcium acetate
D016712,Mupirocin
D043324,Sacrosidase
D000069603,Sevelamer
C405346,sevelamer
D000875,Anthralin
D015738,Famotidine
D011413,Propantheline
C084814,propylhexedrine
C072042,latanoprost
D005341,Fibrinolysin
C059240,cevimeline
D005422,Flavoxate
D005447,Fluocinonide
D000431,Ethanol
D005469,Fluorometholone
D005472,Fluorouracil
D005478,Flurandrenolone
C030544,formic acid
D005578,Fosfomycin
D005632,Fructose
D005665,Furosemide
C010845,aluminum chloride
C045742,amlexanox
D011620,Psyllium
C002791,bismuth tripotassium dicitrate
C067594,butenafine
C009096,carbamide peroxide
C084833,secbutabarbital
D005840,Gentian Violet
D011722,Pyrethrins
C014477,diflorasone
D011899,Ranitidine
D005990,Glycerol
D005998,Glycine
D006024,Glycopyrrolate
D006096,Gramicidin
C007782,dichlorodifluoromethane
D012460,Sulfasalazine
D020156,Salicylic Acid
D012601,Scopolamine
D012643,Selenium
D000481,Allantoin
D006206,Halcinonide
D012835,Silver Nitrate
D012837,Silver Sulfadiazine
D012841,Simethicone
C021702,lodoxamide
C063378,loteprednol etabonate
D000069559,Loteprednol Etabonate
D012965,Sodium Chloride
C110422,magnesium citrate
D019804,Mesalamine
C557696,4-hexylresorcinol
D006604,Hexylresorcinol
C005553,crotamiton
D017137,Nonoxynol
D013012,Sorbitol
D013148,Spironolactone
D006851,Hydrochloric Acid
D006852,Hydrochlorothiazide
D006854,Hydrocortisone
D006858,Hydrofluoric Acid
D019357,Potassium Citrate
C031927,hydroquinone
C013769,rimexolone
C089399,ichthammol
C102006,sodium citrate
D000518,Eflornithine
D007190,Indapamide
D019345,Zinc Acetate
D017364,Collagenases
D007444,Inulin
D007464,Clioquinol
C529236,docosanol
C053539,penciclovir
C056493,imiquimod
C062765,dorzolamide
C063610,adapalene
D000068816,Adapalene
D015474,Isotretinoin
D007616,Kaolin
D000536,Aluminum Hydroxide
D007654,Ketoconazole
D007665,Ketotifen
C404783,polyethylene glycol 3350
C000595212,polyethylene glycol 3350
D002480,Cellulase
D002482,Cellulose
D007778,Lactobacillus
D007779,Lactobacillus acidophilus
D007792,Lactulose
D000068238,Lubiprostone
C506401,lubiprostone
C007288,dexpanthenol
D009637,Masoprocol
