;Side;Type;Metric;Value
0;head;optimistic;median_absolute_deviation;889.5613311033611
1;tail;optimistic;median_absolute_deviation;828.0333390353787
2;both;optimistic;median_absolute_deviation;862.8744911702603
3;head;realistic;median_absolute_deviation;889.5613311033611
4;tail;realistic;median_absolute_deviation;828.0333390353787
5;both;realistic;median_absolute_deviation;862.8744911702603
6;head;pessimistic;median_absolute_deviation;889.5613311033611
7;tail;pessimistic;median_absolute_deviation;828.0333390353787
8;both;pessimistic;median_absolute_deviation;862.8744911702603
9;head;optimistic;standard_deviation;4527.125550918339
10;tail;optimistic;standard_deviation;4293.534703882234
11;both;optimistic;standard_deviation;4411.942697483484
12;head;realistic;standard_deviation;4527.1259765625
13;tail;realistic;standard_deviation;4293.53515625
14;both;realistic;standard_deviation;4411.94287109375
15;head;pessimistic;standard_deviation;4527.126003441539
16;tail;pessimistic;standard_deviation;4293.53504466071
17;both;pessimistic;standard_deviation;4411.943095244383
18;head;optimistic;median_rank;621.0
19;tail;optimistic;median_rank;610.5
20;both;optimistic;median_rank;615.0
21;head;realistic;median_rank;621.0
22;tail;realistic;median_rank;610.5
23;both;realistic;median_rank;615.0
24;head;pessimistic;median_rank;621.0
25;tail;pessimistic;median_rank;610.5
26;both;pessimistic;median_rank;615.0
27;head;optimistic;z_inverse_harmonic_mean_rank;8832.133989072057
28;tail;optimistic;z_inverse_harmonic_mean_rank;5208.090061908219
29;both;optimistic;z_inverse_harmonic_mean_rank;9921.376192918855
30;head;realistic;z_inverse_harmonic_mean_rank;8832.008882213357
31;tail;realistic;z_inverse_harmonic_mean_rank;5208.083295645056
32;both;realistic;z_inverse_harmonic_mean_rank;9921.2792289235
33;head;pessimistic;z_inverse_harmonic_mean_rank;8831.942387972173
34;tail;pessimistic;z_inverse_harmonic_mean_rank;5208.07729346762
35;both;pessimistic;z_inverse_harmonic_mean_rank;9921.232004491814
36;head;optimistic;inverse_harmonic_mean_rank;0.04756655691127067
37;tail;optimistic;inverse_harmonic_mean_rank;0.02824393648069188
38;both;optimistic;inverse_harmonic_mean_rank;0.03790524669598129
39;head;realistic;inverse_harmonic_mean_rank;0.04756588489443777
40;tail;realistic;inverse_harmonic_mean_rank;0.02824389994973835
41;both;realistic;inverse_harmonic_mean_rank;0.0379048774600971
42;head;pessimistic;inverse_harmonic_mean_rank;0.0475655277177823
43;tail;pessimistic;inverse_harmonic_mean_rank;0.028243867544072217
44;both;pessimistic;inverse_harmonic_mean_rank;0.03790469763092726
45;head;optimistic;adjusted_geometric_mean_rank_index;0.9899651227852009
46;tail;optimistic;adjusted_geometric_mean_rank_index;0.9870107236727037
47;both;optimistic;adjusted_geometric_mean_rank_index;0.9885828700010872
48;head;realistic;adjusted_geometric_mean_rank_index;0.9899651092563242
49;tail;realistic;adjusted_geometric_mean_rank_index;0.9870106911370111
50;both;realistic;adjusted_geometric_mean_rank_index;0.988582856994504
51;head;pessimistic;adjusted_geometric_mean_rank_index;0.9899650852625878
52;tail;pessimistic;adjusted_geometric_mean_rank_index;0.9870106900256512
53;both;pessimistic;adjusted_geometric_mean_rank_index;0.9885828338708981
54;head;optimistic;inverse_geometric_mean_rank;0.0027858051359026313
55;tail;optimistic;inverse_geometric_mean_rank;0.002174614144273137
56;both;optimistic;inverse_geometric_mean_rank;0.002461310880754927
57;head;realistic;inverse_geometric_mean_rank;0.0027858014218509197
58;tail;realistic;inverse_geometric_mean_rank;0.0021746086422353983
59;both;realistic;inverse_geometric_mean_rank;0.0024613081477582455
60;head;pessimistic;inverse_geometric_mean_rank;0.002785794748222238
61;tail;pessimistic;inverse_geometric_mean_rank;0.0021746085234786742
62;both;pessimistic;inverse_geometric_mean_rank;0.002461303110985361
63;head;optimistic;adjusted_arithmetic_mean_rank;0.03904166040223485
64;tail;optimistic;adjusted_arithmetic_mean_rank;0.040415701561321106
65;both;optimistic;adjusted_arithmetic_mean_rank;0.03972547053076684
66;head;realistic;adjusted_arithmetic_mean_rank;0.039041661468951695
67;tail;realistic;adjusted_arithmetic_mean_rank;0.04041572100470771
68;both;realistic;adjusted_arithmetic_mean_rank;0.03972547315403507
69;head;pessimistic;adjusted_arithmetic_mean_rank;0.039041685718627074
70;tail;pessimistic;adjusted_arithmetic_mean_rank;0.040415725414186955
71;both;pessimistic;adjusted_arithmetic_mean_rank;0.03972549511881541
72;head;optimistic;inverse_arithmetic_mean_rank;0.0005283131689616117
73;tail;optimistic;inverse_arithmetic_mean_rank;0.0005151438796445434
74;both;optimistic;inverse_arithmetic_mean_rank;0.0005216454206519266
75;head;realistic;inverse_arithmetic_mean_rank;0.0005283131613396108
76;tail;realistic;inverse_arithmetic_mean_rank;0.0005151436198502779
77;both;realistic;inverse_arithmetic_mean_rank;0.0005216453573666513
78;head;pessimistic;inverse_arithmetic_mean_rank;0.0005283128263794931
