;Side;Type;Metric;Value
0;head;optimistic;z_arithmetic_mean_rank;1305.7540856770122
1;tail;optimistic;z_arithmetic_mean_rank;1298.8957804198565
2;both;optimistic;z_arithmetic_mean_rank;1841.7688286720322
3;head;realistic;z_arithmetic_mean_rank;1305.7540897119045
4;tail;realistic;z_arithmetic_mean_rank;1298.895776290989
5;both;realistic;z_arithmetic_mean_rank;1841.768826257392
6;head;pessimistic;z_arithmetic_mean_rank;1305.7540800834838
7;tail;pessimistic;z_arithmetic_mean_rank;1298.8957717188982
8;both;pessimistic;z_arithmetic_mean_rank;1841.7688185742477
9;head;optimistic;z_geometric_mean_rank;764.5525224161863
10;tail;optimistic;z_geometric_mean_rank;763.8678296740497
11;both;optimistic;z_geometric_mean_rank;1069.6691909721708
12;head;realistic;z_geometric_mean_rank;764.5525204987202
13;tail;realistic;z_geometric_mean_rank;763.8678247106833
14;both;realistic;z_geometric_mean_rank;1069.6691881718968
15;head;pessimistic;z_geometric_mean_rank;764.5525204639656
16;tail;pessimistic;z_geometric_mean_rank;763.8678257103228
17;both;pessimistic;z_geometric_mean_rank;1069.669186987383
18;head;optimistic;adjusted_arithmetic_mean_rank;0.016389073362248704
19;tail;optimistic;adjusted_arithmetic_mean_rank;0.021176347505487737
20;both;optimistic;adjusted_arithmetic_mean_rank;0.018771524954443456
21;head;realistic;adjusted_arithmetic_mean_rank;0.016389070322806485
22;tail;realistic;adjusted_arithmetic_mean_rank;0.021176350616925237
23;both;realistic;adjusted_arithmetic_mean_rank;0.018771526240877277
24;head;pessimistic;adjusted_arithmetic_mean_rank;0.01638907757579526
25;tail;pessimistic;adjusted_arithmetic_mean_rank;0.02117635406236765
26;both;pessimistic;adjusted_arithmetic_mean_rank;0.018771530334181486
27;head;optimistic;adjusted_inverse_harmonic_mean_rank;0.07478384084566078
28;tail;optimistic;adjusted_inverse_harmonic_mean_rank;0.07599555280866103
29;both;optimistic;adjusted_inverse_harmonic_mean_rank;0.07538969647448139
30;head;realistic;adjusted_inverse_harmonic_mean_rank;0.07478381112587894
31;tail;realistic;adjusted_inverse_harmonic_mean_rank;0.07599537268410797
32;both;realistic;adjusted_inverse_harmonic_mean_rank;0.07538961482947443
33;head;pessimistic;adjusted_inverse_harmonic_mean_rank;0.07478379180922613
34;tail;pessimistic;adjusted_inverse_harmonic_mean_rank;0.0759952566605709
35;both;pessimistic;adjusted_inverse_harmonic_mean_rank;0.0753895238822909
36;head;optimistic;adjusted_geometric_mean_rank_index;0.9971178229078427
37;tail;optimistic;adjusted_geometric_mean_rank_index;0.9961934186316662
38;both;optimistic;adjusted_geometric_mean_rank_index;0.9966874601505848
39;head;realistic;adjusted_geometric_mean_rank_index;0.9971178204071124
40;tail;realistic;adjusted_geometric_mean_rank_index;0.9961934121587231
41;both;realistic;adjusted_geometric_mean_rank_index;0.996687457541369
42;head;pessimistic;adjusted_geometric_mean_rank_index;0.997117820361786
43;tail;pessimistic;adjusted_geometric_mean_rank_index;0.9961934134623968
44;both;pessimistic;adjusted_geometric_mean_rank_index;0.9966874564376724
45;head;optimistic;harmonic_mean_rank;13.351328801455127
46;tail;optimistic;harmonic_mean_rank;13.13861057393055
47;both;optimistic;harmonic_mean_rank;13.244115607891445
48;head;realistic;harmonic_mean_rank;13.351334098586632
49;tail;realistic;harmonic_mean_rank;13.138641663757278
50;both;realistic;harmonic_mean_rank;13.244129927190382
51;head;pessimistic;harmonic_mean_rank;13.351337541509519
52;tail;pessimistic;harmonic_mean_rank;13.138661689709522
53;both;pessimistic;harmonic_mean_rank;13.244145877986806
54;head;optimistic;inverse_median_rank;0.01
55;tail;optimistic;inverse_median_rank;0.006172839506172839
56;both;optimistic;inverse_median_rank;0.007751937984496124
57;head;realistic;inverse_median_rank;0.009999999776482582
58;tail;realistic;inverse_median_rank;0.006172839552164078
59;both;realistic;inverse_median_rank;0.007751937955617905
60;head;pessimistic;inverse_median_rank;0.01
61;tail;pessimistic;inverse_median_rank;0.006172839506172839
62;both;pessimistic;inverse_median_rank;0.007751937984496124
63;head;optimistic;geometric_mean_rank;103.8125938997877
64;tail;optimistic;geometric_mean_rank;135.4691011745238
65;both;optimistic;geometric_mean_rank;118.58920181112693
66;head;realistic;geometric_mean_rank;103.81268310546875
67;tail;realistic;geometric_mean_rank;135.46932983398438
68;both;realistic;geometric_mean_rank;118.58929443359375
69;head;pessimistic;geometric_mean_rank;103.81268472234818
70;tail;pessimistic;geometric_mean_rank;135.46928378116058
71;both;pessimistic;geometric_mean_rank;118.589333612834
72;head;optimistic;variance;4891444.758744899
73;tail;optimistic;variance;6615238.500133894
74;both;optimistic;variance;5765723.29280728
75;head;realistic;variance;4891447.0
76;tail;realistic;variance;6615239.5
77;both;realistic;variance;5765723.5
78;head;pessimistic;variance;4891445.581027314
79;tail;pessimistic;variance;6615240.063269288
80;both;pessimistic;variance;5765724.497828791
81;head;optimistic;inverse_geometric_mean_rank;0.009632742641661755
82;tail;optimistic;inverse_geometric_mean_rank;0.007381757104239644
83;both;optimistic;inverse_geometric_mean_rank;0.00843247095627363
84;head;realistic;inverse_geometric_mean_rank;0.009632734581828117
85;tail;realistic;inverse_geometric_mean_rank;0.007381744682788849
86;both;realistic;inverse_geometric_mean_rank;0.008432464674115181
87;head;pessimistic;inverse_geometric_mean_rank;0.00963273421426819
88;tail;pessimistic;inverse_geometric_mean_rank;0.007381747153955706
89;both;pessimistic;inverse_geometric_mean_rank;0.008432461584317208
90;head;optimistic;z_inverse_harmonic_mean_rank;13920.496228555392
91;tail;optimistic;z_inverse_harmonic_mean_rank;14074.129151022535
92;both;optimistic;z_inverse_harmonic_mean_rank;19795.40198034485
93;head;realistic;z_inverse_harmonic_mean_rank;13920.490696422963
94;tail;realistic;z_inverse_harmonic_mean_rank;14074.095792541288
95;both;realistic;z_inverse_harmonic_mean_rank;19795.380542458664
96;head;pessimistic;z_inverse_harmonic_mean_rank;13920.48710076126
97;tail;pessimistic;z_inverse_harmonic_mean_rank;14074.074305359673
98;both;pessimistic;z_inverse_harmonic_mean_rank;19795.356662059337
99;head;optimistic;adjusted_arithmetic_mean_rank_index;0.9836312152348698
100;tail;optimistic;adjusted_arithmetic_mean_rank_index;0.9788440319306461
101;both;optimistic;adjusted_arithmetic_mean_rank_index;0.9812488090817297
102;head;realistic;adjusted_arithmetic_mean_rank_index;0.9836312182743747
103;tail;realistic;adjusted_arithmetic_mean_rank_index;0.9788440288191438
104;both;realistic;adjusted_arithmetic_mean_rank_index;0.9812488077952692
105;head;pessimistic;adjusted_arithmetic_mean_rank_index;0.9836312110212363
106;tail;pessimistic;adjusted_arithmetic_mean_rank_index;0.9788440253736296
107;both;pessimistic;adjusted_arithmetic_mean_rank_index;0.9812488037018803
108;head;optimistic;arithmetic_mean_rank;794.5746102487802
109;tail;optimistic;arithmetic_mean_rank;1017.120456023397
110;both;optimistic;arithmetic_mean_rank;905.8475331360886
111;head;realistic;arithmetic_mean_rank;794.574462890625
112;tail;realistic;arithmetic_mean_rank;1017.12060546875
113;both;realistic;arithmetic_mean_rank;905.8475952148438
114;head;pessimistic;arithmetic_mean_rank;794.5748145298302
115;tail;pessimistic;arithmetic_mean_rank;1017.1207709566822
116;both;pessimistic;arithmetic_mean_rank;905.8477927432562
117;head;optimistic;inverse_harmonic_mean_rank;0.07489891192635542
118;tail;optimistic;inverse_harmonic_mean_rank;0.07611154881051017
119;both;optimistic;inverse_harmonic_mean_rank;0.0755052303684328
120;head;realistic;inverse_harmonic_mean_rank;0.07489888221026988
121;tail;realistic;inverse_harmonic_mean_rank;0.07611136870856926
122;both;realistic;inverse_harmonic_mean_rank;0.07550514873362772
123;head;pessimistic;inverse_harmonic_mean_rank;0.07489886289601953
124;tail;pessimistic;inverse_harmonic_mean_rank;0.07611125269959734
125;both;pessimistic;inverse_harmonic_mean_rank;0.07550505779780842
126;head;optimistic;median_rank;100.0
127;tail;optimistic;median_rank;162.0
128;both;optimistic;median_rank;129.0
129;head;realistic;median_rank;100.0
130;tail;realistic;median_rank;162.0
131;both;realistic;median_rank;129.0
132;head;pessimistic;median_rank;100.0
133;tail;pessimistic;median_rank;162.0
134;both;pessimistic;median_rank;129.0
135;head;optimistic;standard_deviation;2211.66108586847
136;tail;optimistic;standard_deviation;2572.0105948720147
137;both;optimistic;standard_deviation;2401.192056626725
138;head;realistic;standard_deviation;2211.66162109375
139;tail;realistic;standard_deviation;2572.0107421875
140;both;realistic;standard_deviation;2401.192138671875
141;head;pessimistic;standard_deviation;2211.661271765483
142;tail;pessimistic;standard_deviation;2572.0108987462104
143;both;pessimistic;standard_deviation;2401.1923075482296
144;head;optimistic;inverse_arithmetic_mean_rank;0.0012585350539792623
145;tail;optimistic;inverse_arithmetic_mean_rank;0.0009831677202813006
146;both;optimistic;inverse_arithmetic_mean_rank;0.001103938536475284
147;head;realistic;inverse_arithmetic_mean_rank;0.00125853531062603
148;tail;realistic;inverse_arithmetic_mean_rank;0.0009831675561144948
149;both;realistic;inverse_arithmetic_mean_rank;0.0011039384407922626
150;head;pessimistic;inverse_arithmetic_mean_rank;0.0012585347304164493
151;tail;pessimistic;inverse_arithmetic_mean_rank;0.0009831674158609712
152;both;pessimistic;inverse_arithmetic_mean_rank;0.0011039382200972358
153;head;optimistic;median_absolute_deviation;140.8472107580322
154;tail;optimistic;median_absolute_deviation;231.2859460868739
155;both;optimistic;median_absolute_deviation;183.84267509469464
156;head;realistic;median_absolute_deviation;140.8472107580322
157;tail;realistic;median_absolute_deviation;231.2859460868739
158;both;realistic;median_absolute_deviation;183.84267509469464
159;head;pessimistic;median_absolute_deviation;140.8472107580322
160;tail;pessimistic;median_absolute_deviation;231.2859460868739
161;both;pessimistic;median_absolute_deviation;183.84267509469464
162;head;optimistic;count;587426.0
163;tail;optimistic;count;587426.0
164;both;optimistic;count;1174852.0
165;head;realistic;count;587426.0
166;tail;realistic;count;587426.0
167;both;realistic;count;1174852.0
168;head;pessimistic;count;587426.0
169;tail;pessimistic;count;587426.0
170;both;pessimistic;count;1174852.0
171;head;optimistic;hits_at_1;0.025541940601880066
172;tail;optimistic;hits_at_1;0.029617347546754824
173;both;optimistic;hits_at_1;0.027579644074317445
174;head;realistic;hits_at_1;0.025541940601880066
175;tail;realistic;hits_at_1;0.029617347546754824
176;both;realistic;hits_at_1;0.027579644074317445
177;head;pessimistic;hits_at_1;0.025541940601880066
178;tail;pessimistic;hits_at_1;0.029617347546754824
179;both;pessimistic;hits_at_1;0.027579644074317445
180;head;optimistic;hits_at_3;0.07545461045306132
181;tail;optimistic;hits_at_3;0.08275765798585694
182;both;optimistic;hits_at_3;0.07910613421945913
183;head;realistic;hits_at_3;0.07545461045306132
184;tail;realistic;hits_at_3;0.08275765798585694
185;both;realistic;hits_at_3;0.07910613421945913
186;head;pessimistic;hits_at_3;0.07545461045306132
187;tail;pessimistic;hits_at_3;0.08275765798585694
188;both;pessimistic;hits_at_3;0.07910613421945913
189;head;optimistic;hits_at_5;0.10763228049150021
190;tail;optimistic;hits_at_5;0.11181493498755588
191;both;optimistic;hits_at_5;0.10972360773952804
192;head;realistic;hits_at_5;0.10763228049150021
193;tail;realistic;hits_at_5;0.11181493498755588
194;both;realistic;hits_at_5;0.10972360773952804
195;head;pessimistic;hits_at_5;0.10763228049150021
196;tail;pessimistic;hits_at_5;0.11181493498755588
197;both;pessimistic;hits_at_5;0.10972360773952804
198;head;optimistic;hits_at_10;0.16714275500233222
199;tail;optimistic;hits_at_10;0.1606381059061056
200;both;optimistic;hits_at_10;0.16389043045421892
201;head;realistic;hits_at_10;0.16714275500233222
202;tail;realistic;hits_at_10;0.1606381059061056
203;both;realistic;hits_at_10;0.16389043045421892
204;head;pessimistic;hits_at_10;0.16714275500233222
205;tail;pessimistic;hits_at_10;0.1606381059061056
206;both;pessimistic;hits_at_10;0.16389043045421892
207;head;optimistic;z_hits_at_k;12607.171458259754
208;tail;optimistic;z_hits_at_k;12054.52962304485
209;both;optimistic;z_hits_at_k;17437.40300432706
210;head;realistic;z_hits_at_k;12607.171458259754
211;tail;realistic;z_hits_at_k;12054.52962304485
212;both;realistic;z_hits_at_k;17437.40300432706
213;head;pessimistic;z_hits_at_k;12607.171458259754
214;tail;pessimistic;z_hits_at_k;12054.52962304485
215;both;pessimistic;z_hits_at_k;17437.40300432706
216;head;optimistic;adjusted_hits_at_k;0.16705685028900955
217;tail;optimistic;adjusted_hits_at_k;0.1605506425744867
218;both;optimistic;adjusted_hits_at_k;0.16380374815179144
219;head;realistic;adjusted_hits_at_k;0.16705685028900955
220;tail;realistic;adjusted_hits_at_k;0.1605506425744867
221;both;realistic;adjusted_hits_at_k;0.16380374815179144
222;head;pessimistic;adjusted_hits_at_k;0.16705685028900955
223;tail;pessimistic;adjusted_hits_at_k;0.1605506425744867
224;both;pessimistic;adjusted_hits_at_k;0.16380374815179144
