;Side;Type;Metric;Value
0;head;optimistic;z_arithmetic_mean_rank;1241.7175367283432
1;tail;optimistic;z_arithmetic_mean_rank;1245.5854016472329
2;both;optimistic;z_arithmetic_mean_rank;1758.758879156766
3;head;realistic;z_arithmetic_mean_rank;1241.7175073515536
4;tail;realistic;z_arithmetic_mean_rank;1245.585364390675
5;both;realistic;z_arithmetic_mean_rank;1758.7588510576886
6;head;pessimistic;z_arithmetic_mean_rank;1241.717450634619
7;tail;pessimistic;z_arithmetic_mean_rank;1245.5853195290006
8;both;pessimistic;z_arithmetic_mean_rank;1758.7587602015524
9;head;optimistic;adjusted_arithmetic_mean_rank;0.06462713743648543
10;tail;optimistic;adjusted_arithmetic_mean_rank;0.06135005539852462
11;both;optimistic;adjusted_arithmetic_mean_rank;0.06299625332885209
12;head;realistic;adjusted_arithmetic_mean_rank;0.06462715956571442
13;tail;realistic;adjusted_arithmetic_mean_rank;0.06135008347437209
14;both;realistic;adjusted_arithmetic_mean_rank;0.06299626829903422
15;head;pessimistic;adjusted_arithmetic_mean_rank;0.06462720228998951
16;tail;pessimistic;adjusted_arithmetic_mean_rank;0.06135011728129397
17;both;pessimistic;adjusted_arithmetic_mean_rank;0.06299631670392992
18;head;optimistic;z_geometric_mean_rank;755.1322836111632
19;tail;optimistic;z_geometric_mean_rank;749.2659890284557
20;both;optimistic;z_geometric_mean_rank;1053.1842377459475
21;head;realistic;z_geometric_mean_rank;755.1322845572839
22;tail;realistic;z_geometric_mean_rank;749.2659815392461
23;both;realistic;z_geometric_mean_rank;1053.1842361382514
24;head;pessimistic;z_geometric_mean_rank;755.1322621876777
25;tail;pessimistic;z_geometric_mean_rank;749.2659597167562
26;both;pessimistic;z_geometric_mean_rank;1053.1842026335944
27;head;optimistic;adjusted_inverse_harmonic_mean_rank;0.02459079060881544
28;tail;optimistic;adjusted_inverse_harmonic_mean_rank;0.01320848752061472
29;both;optimistic;adjusted_inverse_harmonic_mean_rank;0.018899642377635303
30;head;realistic;adjusted_inverse_harmonic_mean_rank;0.02459078335077025
31;tail;realistic;adjusted_inverse_harmonic_mean_rank;0.01320848111176016
32;both;realistic;adjusted_inverse_harmonic_mean_rank;0.018899637206836364
33;head;pessimistic;adjusted_inverse_harmonic_mean_rank;0.024590775527448715
34;tail;pessimistic;adjusted_inverse_harmonic_mean_rank;0.013208480964148912
35;both;pessimistic;adjusted_inverse_harmonic_mean_rank;0.018899631558716545
36;head;optimistic;adjusted_geometric_mean_rank_index;0.9848245566651097
37;tail;optimistic;adjusted_geometric_mean_rank_index;0.9771407547347725
38;both;optimistic;adjusted_geometric_mean_rank_index;0.9813741980298818
39;head;realistic;adjusted_geometric_mean_rank_index;0.9848245578990166
40;tail;realistic;adjusted_geometric_mean_rank_index;0.9771407449678646
41;both;realistic;adjusted_geometric_mean_rank_index;0.9813741965318042
42;head;pessimistic;adjusted_geometric_mean_rank_index;0.984824528725138
43;tail;pessimistic;adjusted_geometric_mean_rank_index;0.9771407165084863
44;both;pessimistic;adjusted_geometric_mean_rank_index;0.9813741653116201
45;head;optimistic;inverse_median_rank;0.0012987012987012987
46;tail;optimistic;inverse_median_rank;0.0009970089730807576
47;both;optimistic;inverse_median_rank;0.0011248593925759281
48;head;realistic;inverse_median_rank;0.0012987012742087245
49;tail;realistic;inverse_median_rank;0.0009970089886337519
50;both;realistic;inverse_median_rank;0.001124859438277781
51;head;pessimistic;inverse_median_rank;0.0012987012987012987
52;tail;pessimistic;inverse_median_rank;0.0009970089730807576
