;Side;Type;Metric;Value
0;head;optimistic;z_inverse_harmonic_mean_rank;10677.36720462723
1;tail;optimistic;z_inverse_harmonic_mean_rank;10449.918602795491
2;both;optimistic;z_inverse_harmonic_mean_rank;14938.788790884493
3;head;realistic;z_inverse_harmonic_mean_rank;10677.365545928526
4;tail;realistic;z_inverse_harmonic_mean_rank;10449.918401041208
5;both;realistic;z_inverse_harmonic_mean_rank;14938.791843670611
6;head;pessimistic;z_inverse_harmonic_mean_rank;10677.36392551582
7;tail;pessimistic;z_inverse_harmonic_mean_rank;10449.91771429135
8;both;pessimistic;z_inverse_harmonic_mean_rank;14938.785848251846
9;head;optimistic;adjusted_arithmetic_mean_rank_index;0.9830745681994815
10;tail;optimistic;adjusted_arithmetic_mean_rank_index;0.9782626415218572
11;both;optimistic;adjusted_arithmetic_mean_rank_index;0.9806798481738004
12;head;realistic;adjusted_arithmetic_mean_rank_index;0.9830745656549105
13;tail;realistic;adjusted_arithmetic_mean_rank_index;0.9782626352031141
14;both;realistic;adjusted_arithmetic_mean_rank_index;0.9806798450157957
15;head;pessimistic;adjusted_arithmetic_mean_rank_index;0.9830745591050558
16;tail;pessimistic;adjusted_arithmetic_mean_rank_index;0.9782626291875777
17;both;pessimistic;adjusted_arithmetic_mean_rank_index;0.9806798374670178
18;head;optimistic;arithmetic_mean_rank;821.5614000742221
19;tail;optimistic;arithmetic_mean_rank;1045.0446183859754
20;both;optimistic;arithmetic_mean_rank;933.3030092300987
21;head;realistic;arithmetic_mean_rank;821.5615234375
22;tail;realistic;arithmetic_mean_rank;1045.044921875
23;both;realistic;arithmetic_mean_rank;933.3031616210938
24;head;pessimistic;arithmetic_mean_rank;821.5618409808214
25;tail;pessimistic;arithmetic_mean_rank;1045.04521080102
26;both;pessimistic;arithmetic_mean_rank;933.3035258909207
27;head;optimistic;standard_deviation;2442.682329049057
28;tail;optimistic;standard_deviation;2692.215069458554
29;both;optimistic;standard_deviation;2572.9060724501524
30;head;realistic;standard_deviation;2442.682861328125
31;tail;realistic;standard_deviation;2692.21533203125
32;both;realistic;standard_deviation;2572.906494140625
33;head;pessimistic;standard_deviation;2442.683332171679
34;tail;pessimistic;standard_deviation;2692.2160214793416
35;both;pessimistic;standard_deviation;2572.907049999328
36;head;optimistic;inverse_arithmetic_mean_rank;0.0012171944785985044
