;Side;Type;Metric;Value
0;head;optimistic;z_inverse_harmonic_mean_rank;5488.7961724636925
1;tail;optimistic;z_inverse_harmonic_mean_rank;5524.247830273035
2;both;optimistic;z_inverse_harmonic_mean_rank;7787.436689747449
3;head;realistic;z_inverse_harmonic_mean_rank;5488.794383284205
4;tail;realistic;z_inverse_harmonic_mean_rank;5524.247105152899
5;both;realistic;z_inverse_harmonic_mean_rank;7787.434477222371
6;head;pessimistic;z_inverse_harmonic_mean_rank;5488.792664961608
7;tail;pessimistic;z_inverse_harmonic_mean_rank;5524.245338681507
8;both;pessimistic;z_inverse_harmonic_mean_rank;7787.4324495917535
9;head;optimistic;adjusted_arithmetic_mean_rank_index;0.9610855261545926
10;tail;optimistic;adjusted_arithmetic_mean_rank_index;0.9500856363208047
11;both;optimistic;adjusted_arithmetic_mean_rank_index;0.9556112830436683
12;head;realistic;adjusted_arithmetic_mean_rank_index;0.9610855030563253
13;tail;realistic;adjusted_arithmetic_mean_rank_index;0.9500856110059759
14;both;realistic;adjusted_arithmetic_mean_rank_index;0.9556112601071333
15;head;pessimistic;adjusted_arithmetic_mean_rank_index;0.9610854936042741
16;tail;pessimistic;adjusted_arithmetic_mean_rank_index;0.9500855963761694
17;both;pessimistic;adjusted_arithmetic_mean_rank_index;0.9556112468134687
18;head;optimistic;arithmetic_mean_rank;1887.6115510719649
19;tail;optimistic;arithmetic_mean_rank;2398.385258738973
20;both;optimistic;arithmetic_mean_rank;2142.9984049054688
21;head;realistic;arithmetic_mean_rank;1887.6126708984375
22;tail;realistic;arithmetic_mean_rank;2398.386474609375
23;both;realistic;arithmetic_mean_rank;2142.99951171875
24;head;pessimistic;arithmetic_mean_rank;1887.613129143075
25;tail;pessimistic;arithmetic_mean_rank;2398.3871772784996
26;both;pessimistic;arithmetic_mean_rank;2143.000153210787
27;head;optimistic;inverse_geometric_mean_rank;0.002899129096074336
28;tail;optimistic;inverse_geometric_mean_rank;0.0024533599322501785
29;both;optimistic;inverse_geometric_mean_rank;0.002666947161593089
30;head;realistic;inverse_geometric_mean_rank;0.002899126848205924
31;tail;realistic;inverse_geometric_mean_rank;0.0024533600080758333
32;both;realistic;inverse_geometric_mean_rank;0.0026669474318623543
33;head;pessimistic;inverse_geometric_mean_rank;0.0028991257038453026
34;tail;pessimistic;inverse_geometric_mean_rank;0.002453357065719795
35;both;pessimistic;inverse_geometric_mean_rank;0.0026669440432710062
36;head;optimistic;standard_deviation;5383.097417202742
37;tail;optimistic;standard_deviation;6159.482055621241
38;both;optimistic;standard_deviation;5789.96553905275
39;head;realistic;standard_deviation;5383.0986328125
40;tail;realistic;standard_deviation;6159.48388671875
41;both;realistic;standard_deviation;5789.966796875
42;head;pessimistic;standard_deviation;5383.099947350861
43;tail;pessimistic;standard_deviation;6159.484478957652
44;both;pessimistic;standard_deviation;5789.9680117343205
45;head;optimistic;median_rank;438.0
46;tail;optimistic;median_rank;526.0
47;both;optimistic;median_rank;479.0
48;head;realistic;median_rank;438.0
49;tail;realistic;median_rank;526.0
50;both;realistic;median_rank;479.0
51;head;pessimistic;median_rank;438.0
52;tail;pessimistic;median_rank;526.0
53;both;pessimistic;median_rank;479.0
54;head;optimistic;inverse_harmonic_mean_rank;0.029607675086816113
55;tail;optimistic;inverse_harmonic_mean_rank;0.029950867539650178
56;both;optimistic;inverse_harmonic_mean_rank;0.029779271313233133
57;head;realistic;inverse_harmonic_mean_rank;0.029607665476162108
58;tail;realistic;inverse_harmonic_mean_rank;0.029950863624737416
59;both;realistic;inverse_harmonic_mean_rank;0.02977926288800632
